,Dates,content_scores,title_scores,firstP_scores,stock_label
0,2019-03-11,0.046631331134103074,0.035055555555555555,-0.29055555555555557,1
1,2019-03-12,-0.05301012750869579,-0.09860714285714285,-0.3543214285714286,0
2,2019-03-13,0.0018703896384018892,-0.14104615384615382,-0.07519230769230768,0
3,2019-03-14,0.018857793799337927,-0.153325,-0.19497499999999998,0
4,2019-03-15,0.027857142857142855,0.0,-0.1806,1
5,2019-03-18,-0.06358439489432138,-0.14850000000000002,0.04672499999999999,1
6,2019-03-19,0.10358488122605364,0.14049999999999999,-0.21059999999999998,1
7,2019-03-20,0.0,0.0,0.0,1
8,2019-03-21,-0.10202331402257872,0.015825000000000033,0.259075,0
9,2019-03-22,-0.0008062608695652146,-0.042666666666666665,-0.06783333333333334,0
10,2019-03-25,-0.03871978609625669,-0.31382,0.11758000000000002,1
11,2019-03-26,-0.07827470355731225,-0.19074,-0.16065999999999997,0
12,2019-03-28,0.2270727272727273,-0.3612,0.34,0
13,2019-03-29,0.10726363636363637,0.4221,0.0,1
14,2019-04-02,0.010551736111111114,0.04254999999999998,0.136375,1
15,2019-04-03,-0.02388333333333332,-0.38915,0.13945,0
16,2019-04-04,-0.06231142533936651,-0.180025,-0.239875,1
17,2019-04-05,-0.05868295454545455,-0.2605,-0.38055,0
18,2019-04-08,-0.024230303030303033,-0.042666666666666665,-0.13396666666666665,0
19,2019-04-09,-0.06793190476190476,-0.51915,-0.33055,0
